epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.72599,0.85672,3.9987,1.05386,0.00432,0.84597,0.1948,0.15562,0.8679,3.39948,0.98079,9.09e-05,9.09e-05,9.09e-05
2,15.2543,0.80986,3.32166,1.00046,0.00475,0.92033,0.28041,0.19999,0.95945,3.26074,1.00093,0.000189,0.000189,0.000189
3,21.68,0.81966,2.68167,1.00025,0.00513,0.93223,0.52395,0.40167,0.94403,2.93713,0.98423,0.000285121,0.000285121,0.000285121
4,27.8999,0.77811,2.2359,0.97184,1,0.07983,0.58834,0.46481,0.91247,2.75308,0.98322,0.000379261,0.000379261,0.000379261
5,34.2253,0.8462,2.1523,1.00403,0.00531,0.94322,0.57456,0.43902,0.98707,2.71431,0.99099,0.000471422,0.000471422,0.000471422
6,40.9197,0.79594,2.13306,0.96989,0.88421,0.19639,0.55292,0.41985,0.98245,2.66814,0.9614,0.000561603,0.000561603,0.000561603
7,47.5229,0.77958,2.05368,0.94433,0.77947,0.26308,0.60047,0.46425,0.9399,2.53189,0.9555,0.000649804,0.000649804,0.000649804
8,54.1039,0.77821,2.07324,0.98568,0.57086,0.45192,0.63863,0.48246,0.96164,2.1786,0.96353,0.000736025,0.000736025,0.000736025
9,60.6003,0.79967,1.91652,0.95351,0.53871,0.57685,0.60868,0.45446,0.99667,2.00527,0.96891,0.000820267,0.000820267,0.000820267
10,67.4556,0.77731,1.82305,0.97195,0.49847,0.58328,0.66121,0.50141,0.96803,2.03407,0.98535,0.000828008,0.000828008,0.000828008
11,74.4162,0.76194,1.84608,0.98731,0.56479,0.65144,0.65201,0.49257,1.00923,1.81261,0.98083,0.000819009,0.000819009,0.000819009
12,81.7999,0.76646,1.77505,0.96381,0.57387,0.74709,0.65952,0.50313,0.98127,1.61083,0.99921,0.00081001,0.00081001,0.00081001
13,89.1067,0.79272,1.71895,0.98666,0.48909,0.68723,0.68816,0.52124,1.01681,1.75621,1.02753,0.000801011,0.000801011,0.000801011
14,96.2333,0.81979,1.71063,0.98158,0.48236,0.59646,0.64946,0.49556,1.0349,1.74102,1.00823,0.000792012,0.000792012,0.000792012
15,103.154,0.78048,1.65562,0.96602,0.63667,0.72483,0.70624,0.53958,1.02697,1.55428,1.0219,0.000783013,0.000783013,0.000783013
16,109.815,0.79614,1.67625,0.98906,0.70193,0.67437,0.76523,0.60684,0.99191,1.41982,1.05825,0.000774013,0.000774013,0.000774013
17,116.494,0.7236,1.56796,0.93903,0.70107,0.71577,0.76636,0.60979,1.02318,1.52827,1.07012,0.000765014,0.000765014,0.000765014
18,123.208,0.76286,1.58713,0.98602,0.74861,0.68105,0.74973,0.5923,1.01493,1.51094,1.05312,0.000756015,0.000756015,0.000756015
19,129.733,0.71648,1.47068,0.93539,0.70745,0.68931,0.70659,0.56796,0.9653,1.68535,1.04564,0.000747016,0.000747016,0.000747016
20,136.383,0.71511,1.34124,0.9309,0.83192,0.62245,0.75172,0.61193,0.93592,1.63463,1.0471,0.000738017,0.000738017,0.000738017
21,142.855,0.67295,1.39608,0.91896,0.74002,0.76114,0.83164,0.66109,0.95605,1.43746,1.0457,0.000729018,0.000729018,0.000729018
22,149.486,0.6915,1.33105,0.93245,0.73405,0.66195,0.76298,0.62045,1.00578,1.32118,1.09377,0.000720019,0.000720019,0.000720019
23,155.998,0.71638,1.3212,0.91544,0.60594,0.76293,0.74863,0.59101,0.97396,1.47013,1.08499,0.00071102,0.00071102,0.00071102
24,162.777,0.6888,1.26478,0.92454,0.6802,0.78244,0.77769,0.59907,1.02059,1.38473,1.09055,0.000702021,0.000702021,0.000702021
25,169.182,0.61792,1.24509,0.91751,0.57258,0.78732,0.71311,0.54059,1.05713,1.54275,1.11314,0.000693022,0.000693022,0.000693022
26,175.574,0.63105,1.16973,0.91543,0.58565,0.74331,0.67645,0.51511,1.02545,1.63986,1.08228,0.000684022,0.000684022,0.000684022
27,182.039,0.66332,1.16486,0.92344,0.66593,0.81332,0.77863,0.61684,0.9614,1.38647,1.05279,0.000675023,0.000675023,0.000675023
28,188.412,0.66902,1.17768,0.9195,0.75824,0.79009,0.85969,0.65286,0.99406,1.21439,1.05453,0.000666024,0.000666024,0.000666024
29,194.816,0.64606,1.10123,0.91638,0.8643,0.78483,0.83984,0.65061,0.98382,1.15362,1.04729,0.000657025,0.000657025,0.000657025
30,201.224,0.64861,1.10288,0.91685,0.81043,0.77653,0.80581,0.63224,1.01853,1.34884,1.02754,0.000648026,0.000648026,0.000648026
31,207.632,0.66053,1.12097,0.93817,0.77404,0.77753,0.82096,0.64458,0.98703,1.28601,1.00093,0.000639027,0.000639027,0.000639027
32,214.065,0.63316,1.1088,0.917,0.82841,0.74624,0.82583,0.64652,0.9761,1.19766,0.99697,0.000630028,0.000630028,0.000630028
33,220.849,0.65208,1.06097,0.91489,0.78995,0.74926,0.81604,0.66214,0.88248,1.2366,0.97657,0.000621029,0.000621029,0.000621029
34,227.237,0.64377,1.02882,0.93017,0.84017,0.6827,0.79833,0.63745,0.90494,1.22589,1.00991,0.00061203,0.00061203,0.00061203
35,233.709,0.65514,1.00511,0.90386,0.74205,0.82107,0.78024,0.61744,0.95773,1.22032,1.04469,0.000603031,0.000603031,0.000603031
36,240.067,0.65128,0.99275,0.91011,0.77966,0.85703,0.83701,0.64463,0.975,1.2629,1.03313,0.000594031,0.000594031,0.000594031
37,246.429,0.62812,0.99712,0.90381,0.8123,0.80505,0.8487,0.65063,0.97466,1.13262,1.0216,0.000585032,0.000585032,0.000585032
38,252.866,0.59825,0.99849,0.89601,0.81256,0.80389,0.88886,0.68972,0.99325,1.03552,1.0304,0.000576033,0.000576033,0.000576033
39,259.243,0.63193,0.98905,0.90654,0.76539,0.86082,0.85226,0.64336,1.01483,1.09545,1.04681,0.000567034,0.000567034,0.000567034
40,265.696,0.59844,0.91572,0.90251,0.81051,0.81892,0.84825,0.66465,0.94442,1.07463,1.02099,0.000558035,0.000558035,0.000558035
41,272.093,0.59984,0.91192,0.89732,0.77626,0.83499,0.87111,0.70274,0.92153,1.05183,1.02623,0.000549036,0.000549036,0.000549036
42,278.491,0.60945,0.86252,0.89616,0.76172,0.84267,0.87024,0.6837,0.95379,1.05204,1.04343,0.000540037,0.000540037,0.000540037
43,284.923,0.59673,0.88793,0.8893,0.78282,0.86626,0.8671,0.68081,0.98474,1.03808,1.05128,0.000531038,0.000531038,0.000531038
44,291.361,0.58169,0.85712,0.90248,0.81357,0.85577,0.87379,0.67853,1.02785,1.01265,1.04561,0.000522039,0.000522039,0.000522039
45,297.707,0.61164,0.90015,0.88811,0.79528,0.88304,0.85072,0.67168,0.97791,1.036,1.02999,0.00051304,0.00051304,0.00051304
46,304.132,0.62031,0.93752,0.92101,0.80574,0.83961,0.85023,0.67812,0.91044,1.0808,1.01273,0.00050404,0.00050404,0.00050404
47,310.509,0.54437,0.82655,0.8725,0.8159,0.80009,0.84054,0.66418,0.92877,1.05696,1.04095,0.000495041,0.000495041,0.000495041
48,317.032,0.58572,0.8478,0.90456,0.86597,0.78783,0.83635,0.64852,0.99763,1.06204,1.08924,0.000486042,0.000486042,0.000486042
49,323.394,0.55031,0.80854,0.8778,0.89276,0.76826,0.84031,0.65,1.01459,1.06393,1.08474,0.000477043,0.000477043,0.000477043
50,329.868,0.5541,0.79236,0.89384,0.83042,0.75984,0.84315,0.65552,1.02191,1.18612,1.06362,0.000468044,0.000468044,0.000468044
51,336.243,0.53526,0.79738,0.89391,0.83483,0.78177,0.84763,0.66086,0.98252,1.12276,1.05563,0.000459045,0.000459045,0.000459045
52,342.639,0.59014,0.82489,0.90565,0.85947,0.76853,0.87377,0.68528,0.97862,1.00887,1.05756,0.000450046,0.000450046,0.000450046
53,349.03,0.52615,0.77176,0.89684,0.8682,0.78142,0.86922,0.6768,0.99502,1.00822,1.06009,0.000441047,0.000441047,0.000441047
54,355.557,0.53008,0.76815,0.87696,0.82451,0.7965,0.87693,0.68909,0.98358,1.00964,1.05686,0.000432048,0.000432048,0.000432048
55,361.993,0.52689,0.73474,0.89312,0.7984,0.82221,0.85327,0.67571,0.97293,1.11728,1.03891,0.000423049,0.000423049,0.000423049
56,368.468,0.54854,0.76366,0.88877,0.81963,0.76756,0.85644,0.67584,1.01218,1.09948,1.05036,0.000414049,0.000414049,0.000414049
57,374.906,0.56757,0.75167,0.8858,0.86274,0.79077,0.86479,0.68175,0.97442,1.03769,1.02976,0.00040505,0.00040505,0.00040505
58,381.265,0.50719,0.70132,0.88477,0.8071,0.78438,0.8781,0.70004,0.94948,0.96946,1.02591,0.000396051,0.000396051,0.000396051
59,387.631,0.54272,0.7363,0.88162,0.79224,0.757,0.83538,0.65952,0.97823,1.04602,1.04914,0.000387052,0.000387052,0.000387052
60,394.149,0.50328,0.69546,0.87081,0.80656,0.75585,0.85035,0.66083,0.97025,1.05999,1.05263,0.000378053,0.000378053,0.000378053
61,400.483,0.52168,0.7038,0.86584,0.79724,0.79114,0.85611,0.67248,0.96272,1.06909,1.04562,0.000369054,0.000369054,0.000369054
62,406.892,0.53865,0.71346,0.88127,0.84474,0.82445,0.85746,0.68087,0.96356,1.04208,1.05054,0.000360055,0.000360055,0.000360055
63,413.319,0.55052,0.72424,0.88695,0.84916,0.81165,0.86629,0.67467,0.96566,1.01808,1.05601,0.000351056,0.000351056,0.000351056
64,419.724,0.51228,0.68537,0.87864,0.9109,0.79019,0.87333,0.6728,0.96046,0.93719,1.04958,0.000342057,0.000342057,0.000342057
65,426.112,0.49832,0.70688,0.86323,0.89278,0.8154,0.88103,0.68704,0.96316,0.90815,1.05731,0.000333058,0.000333058,0.000333058
66,432.553,0.53744,0.68126,0.87306,0.87227,0.80551,0.86946,0.69461,0.91146,0.9445,1.0443,0.000324058,0.000324058,0.000324058
67,439.017,0.53229,0.69415,0.88002,0.89787,0.74732,0.83726,0.66784,0.89925,0.95701,1.03941,0.000315059,0.000315059,0.000315059
68,445.463,0.50092,0.67559,0.86401,0.85482,0.76855,0.85432,0.67215,0.88977,0.94285,1.02913,0.00030606,0.00030606,0.00030606
69,451.734,0.48113,0.66424,0.86587,0.77253,0.86742,0.86525,0.67889,0.89702,0.93673,1.0282,0.000297061,0.000297061,0.000297061
70,458.189,0.48189,0.65725,0.87446,0.87184,0.85616,0.87014,0.68231,0.90231,0.89906,1.02747,0.000288062,0.000288062,0.000288062
71,464.696,0.46419,0.62999,0.85552,0.8603,0.82371,0.89089,0.69145,0.92382,0.8777,1.03578,0.000279063,0.000279063,0.000279063
72,471.252,0.47877,0.63991,0.86479,0.83678,0.84378,0.91666,0.72938,0.90587,0.8507,1.02821,0.000270064,0.000270064,0.000270064
73,477.686,0.48364,0.61471,0.87498,0.84647,0.83636,0.91223,0.72358,0.89156,0.83886,1.02915,0.000261065,0.000261065,0.000261065
74,484.104,0.47375,0.63628,0.87386,0.8564,0.7609,0.89261,0.71886,0.88063,0.87205,1.02689,0.000252066,0.000252066,0.000252066
75,490.485,0.46538,0.61766,0.88091,0.75439,0.82557,0.86799,0.69839,0.87646,0.94959,1.01833,0.000243067,0.000243067,0.000243067
76,496.892,0.48054,0.64398,0.87075,0.73755,0.83594,0.8346,0.67113,0.88405,0.94238,1.01079,0.000234068,0.000234068,0.000234068
77,503.359,0.4606,0.62289,0.86619,0.81484,0.79982,0.83125,0.6663,0.88477,0.94322,1.00827,0.000225068,0.000225068,0.000225068
78,509.801,0.43803,0.61449,0.8599,0.81184,0.79993,0.83865,0.68775,0.89056,0.98361,1.00854,0.000216069,0.000216069,0.000216069
79,516.264,0.42409,0.57806,0.85044,0.82043,0.78204,0.83513,0.68177,0.9012,0.99323,1.00248,0.00020707,0.00020707,0.00020707
80,522.642,0.47125,0.60805,0.85849,0.85658,0.77835,0.84545,0.68842,0.91032,0.98615,1.00479,0.000198071,0.000198071,0.000198071
81,529.034,0.44143,0.58668,0.84984,0.80415,0.79107,0.84196,0.68105,0.91523,0.97487,1.00639,0.000189072,0.000189072,0.000189072
82,535.443,0.44391,0.58042,0.84733,0.82455,0.78478,0.84787,0.68328,0.91361,0.94957,1.01121,0.000180073,0.000180073,0.000180073
83,541.918,0.4319,0.60039,0.85314,0.82949,0.79854,0.87699,0.70965,0.90932,0.93884,1.01513,0.000171074,0.000171074,0.000171074
84,548.33,0.42166,0.57739,0.85849,0.83781,0.79461,0.89407,0.72932,0.9102,0.95368,1.01691,0.000162075,0.000162075,0.000162075
85,554.672,0.42754,0.5665,0.85202,0.83961,0.79314,0.89076,0.72854,0.91111,0.95114,1.01616,0.000153076,0.000153076,0.000153076
86,561.072,0.45117,0.58617,0.85104,0.82993,0.78243,0.89184,0.73044,0.91247,0.9159,1.01091,0.000144077,0.000144077,0.000144077
87,567.484,0.4294,0.57674,0.85753,0.84157,0.79967,0.89261,0.72486,0.9156,0.88541,1.00668,0.000135077,0.000135077,0.000135077
88,573.829,0.43525,0.5681,0.84092,0.83771,0.81189,0.88757,0.72009,0.91266,0.85629,1.00276,0.000126078,0.000126078,0.000126078
89,580.295,0.42551,0.55085,0.84539,0.84361,0.81567,0.88368,0.71971,0.91328,0.85281,1.00278,0.000117079,0.000117079,0.000117079
90,586.527,0.42728,0.57811,0.85482,0.84847,0.80741,0.88464,0.71187,0.91022,0.85153,1.00275,0.00010808,0.00010808,0.00010808
91,592.821,0.38076,0.58804,0.82279,0.83909,0.80691,0.8758,0.71156,0.91107,0.86788,1.0111,9.9081e-05,9.9081e-05,9.9081e-05
92,598.786,0.3917,0.62782,0.80891,0.84711,0.80909,0.88046,0.71453,0.9123,0.86672,1.02039,9.00819e-05,9.00819e-05,9.00819e-05
93,604.995,0.38571,0.62038,0.82106,0.83174,0.8362,0.88339,0.71093,0.90953,0.86386,1.02257,8.10828e-05,8.10828e-05,8.10828e-05
94,611.042,0.38293,0.60637,0.81235,0.83275,0.80813,0.89408,0.72381,0.90537,0.84012,1.02384,7.20837e-05,7.20837e-05,7.20837e-05
95,617.212,0.36863,0.58539,0.81446,0.82889,0.83476,0.91375,0.73907,0.90834,0.80618,1.02487,6.30846e-05,6.30846e-05,6.30846e-05
96,623.306,0.36895,0.58114,0.82065,0.86756,0.78687,0.91056,0.73982,0.90846,0.78568,1.02713,5.40855e-05,5.40855e-05,5.40855e-05
97,629.375,0.37053,0.56608,0.80326,0.81691,0.82832,0.90794,0.73673,0.90807,0.78439,1.02856,4.50864e-05,4.50864e-05,4.50864e-05
98,635.508,0.36998,0.59145,0.79783,0.82359,0.82039,0.90689,0.73339,0.90297,0.78483,1.0295,3.60873e-05,3.60873e-05,3.60873e-05
99,641.563,0.34731,0.56662,0.79493,0.84105,0.82197,0.90751,0.7351,0.89865,0.79151,1.03199,2.70882e-05,2.70882e-05,2.70882e-05
100,648.177,0.36346,0.58641,0.80163,0.84777,0.83416,0.9113,0.73926,0.89649,0.79407,1.03382,1.80891e-05,1.80891e-05,1.80891e-05
